latitude,longitude,timestamp,unit
40.67457,-74.18894,2023-12-10T08:34:47Z,2000
40.67463,-74.18905,2023-12-10T08:34:47Z,2000
40.67469,-74.18914,2023-12-10T08:34:48Z,2000
40.67474,-74.18923,2023-12-10T08:34:49Z,2000
40.6748,-74.18931,2023-12-10T08:34:49Z,2000
40.67486,-74.1894,2023-12-10T08:34:50Z,2000
40.67491,-74.18947,2023-12-10T08:34:50Z,2000
40.67496,-74.18955,2023-12-10T08:34:51Z,2000
40.67501,-74.18961,2023-12-10T08:34:51Z,2000
40.67515,-74.1898,2023-12-10T08:34:53Z,2000
40.6752,-74.18987,2023-12-10T08:34:53Z,2000
40.67532,-74.19002,2023-12-10T08:34:54Z,2000
40.67537,-74.19008,2023-12-10T08:34:55Z,2000
40.67543,-74.19015,2023-12-10T08:34:55Z,2000
40.67547,-74.19021,2023-12-10T08:34:56Z,2000
40.67552,-74.19026,2023-12-10T08:34:56Z,2000
40.67557,-74.19031,2023-12-10T08:34:56Z,2000
40.67563,-74.19037,2023-12-10T08:34:57Z,2000
40.67595,-74.19068,2023-12-10T08:35:00Z,2000
40.67608,-74.19081,2023-12-10T08:35:01Z,2000
40.67617,-74.19089,2023-12-10T08:35:01Z,2000
40.67629,-74.19101,2023-12-10T08:35:02Z,2000
40.67644,-74.19113,2023-12-10T08:35:04Z,2000
40.67653,-74.1912,2023-12-10T08:35:04Z,2000
40.67663,-74.19128,2023-12-10T08:35:05Z,2000
40.67677,-74.19138,2023-12-10T08:35:06Z,2000
40.67687,-74.19145,2023-12-10T08:35:07Z,2000
40.67687,-74.19145,2023-12-10T08:35:07Z,2000
40.67701,-74.19155,2023-12-10T08:35:08Z,2000
40.67711,-74.19161,2023-12-10T08:35:09Z,2000
40.67718,-74.19166,2023-12-10T08:35:09Z,2000
40.67731,-74.19174,2023-12-10T08:35:10Z,2000
40.67853,-74.19241,2023-12-10T08:35:19Z,2000
40.67885,-74.19259,2023-12-10T08:35:21Z,2000
40.67893,-74.19263,2023-12-10T08:35:22Z,2000
40.679,-74.19267,2023-12-10T08:35:22Z,2000
40.67907,-74.19269,2023-12-10T08:35:23Z,2000
40.67913,-74.19272,2023-12-10T08:35:23Z,2000
40.6792,-74.19275,2023-12-10T08:35:24Z,2000
40.67926,-74.19277,2023-12-10T08:35:24Z,2000
40.67937,-74.19281,2023-12-10T08:35:25Z,2000
40.67946,-74.19284,2023-12-10T08:35:26Z,2000
40.67954,-74.19286,2023-12-10T08:35:26Z,2000
40.67961,-74.19288,2023-12-10T08:35:27Z,2000
40.67968,-74.1929,2023-12-10T08:35:27Z,2000
40.67974,-74.19291,2023-12-10T08:35:27Z,2000
40.67981,-74.19293,2023-12-10T08:35:28Z,2000
40.67988,-74.19294,2023-12-10T08:35:28Z,2000
40.67994,-74.19294,2023-12-10T08:35:29Z,2000
40.68,-74.19295,2023-12-10T08:35:29Z,2000
40.68007,-74.19295,2023-12-10T08:35:30Z,2000
40.68014,-74.19295,2023-12-10T08:35:30Z,2000
40.6802,-74.19295,2023-12-10T08:35:31Z,2000
40.68025,-74.19295,2023-12-10T08:35:31Z,2000
40.68031,-74.19294,2023-12-10T08:35:31Z,2000
40.68037,-74.19293,2023-12-10T08:35:32Z,2000
40.68042,-74.19292,2023-12-10T08:35:32Z,2000
40.68047,-74.19291,2023-12-10T08:35:32Z,2000
40.68052,-74.19289,2023-12-10T08:35:33Z,2000
40.68057,-74.19287,2023-12-10T08:35:33Z,2000
40.68062,-74.19286,2023-12-10T08:35:33Z,2000
40.68068,-74.19283,2023-12-10T08:35:34Z,2000
40.68074,-74.19281,2023-12-10T08:35:34Z,2000
40.68079,-74.19278,2023-12-10T08:35:35Z,2000
40.68085,-74.19276,2023-12-10T08:35:35Z,2000
40.68109,-74.19264,2023-12-10T08:35:37Z,2000
40.68114,-74.19261,2023-12-10T08:35:37Z,2000
40.68119,-74.19259,2023-12-10T08:35:37Z,2000
40.68125,-74.19257,2023-12-10T08:35:38Z,2000
40.68133,-74.19254,2023-12-10T08:35:38Z,2000
40.68143,-74.19251,2023-12-10T08:35:39Z,2000
